               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12058,             0.69698,                   0,            0.059412,           0.0076903,            0.034637,           0.0078134,            0.093545,             0.66904,                   0,            0.070789,           0.0032456,           0.0032456
                   1,             0.11012,             0.66604,                   0,            0.086452,            0.020406,            0.049176,            0.011929,            0.088848,              0.7133,                   0,            0.040659,           0.0064487,           0.0064487
                   2,             0.10942,             0.74514,                   0,             0.16374,            0.042766,            0.087394,            0.022216,            0.084886,              0.8127,                   0,            0.010397,           0.0095198,           0.0095198
                   3,             0.10414,             0.77137,                   0,             0.16095,            0.045342,            0.085558,            0.021485,            0.085082,             0.70988,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.10063,             0.77137,                   0,             0.17807,            0.059657,            0.096041,            0.025455,            0.084706,             0.74701,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.10128,             0.77731,                   0,             0.22379,            0.092867,             0.12618,            0.034249,            0.081475,             0.76741,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.10063,             0.76069,                   0,             0.25644,              0.1152,             0.14957,            0.039895,            0.079805,             0.73701,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.10307,             0.80051,                   0,             0.27537,             0.12685,             0.16347,            0.044244,            0.079205,             0.76195,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.10069,             0.77976,                   0,             0.29815,             0.14075,             0.18008,            0.049452,            0.077921,             0.78468,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.098705,             0.75766,                   0,             0.31175,             0.14028,             0.18571,            0.050589,            0.077984,             0.74474,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.10163,             0.79846,                   0,             0.33717,             0.11809,             0.19862,            0.057881,            0.076411,             0.76392,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.10342,             0.76931,                   0,             0.32493,            0.087829,             0.18203,            0.050067,             0.07715,             0.78532,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.094261,             0.76166,                   0,             0.35491,             0.10539,             0.20453,             0.06267,             0.07554,             0.76635,                   0,            0.007822,            0.007822,            0.007822
                  13,                 0.1,             0.76194,                   0,             0.37861,             0.11387,             0.22293,            0.063466,            0.075943,             0.77858,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.097746,             0.76173,                   0,             0.38235,             0.14848,             0.23775,            0.075457,            0.074326,             0.78808,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.10077,             0.79621,                   0,             0.38245,             0.20769,             0.25246,             0.07763,            0.073408,             0.79452,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.09584,             0.78512,                   0,             0.36546,             0.15424,             0.22762,             0.07086,             0.07412,             0.79038,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.094625,             0.76674,                   0,             0.30821,             0.16427,             0.19822,            0.062543,            0.074078,             0.79582,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.097851,             0.81734,                   0,             0.37281,              0.1987,             0.24869,            0.078228,            0.072416,             0.81469,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.096878,             0.81616,                   0,             0.31174,             0.15161,             0.19557,            0.056236,            0.074121,             0.84326,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.096572,             0.80266,                   0,              0.3544,             0.22658,             0.24499,            0.074971,            0.073644,             0.82369,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.092723,             0.76389,                   0,             0.44001,             0.23986,             0.30823,             0.10104,             0.07092,             0.81049,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.090423,             0.77677,                   0,             0.42885,              0.2367,             0.29985,             0.10057,            0.071268,             0.81733,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.094925,             0.82058,                   0,             0.45276,             0.27088,             0.33386,              0.1064,            0.070731,             0.82251,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.092008,             0.79354,                   0,             0.38302,             0.20415,             0.25984,            0.082833,            0.071278,             0.82069,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.088691,             0.78582,                   0,             0.46684,             0.26325,              0.3404,             0.11421,            0.069726,             0.81584,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.088332,             0.81303,                   0,             0.47063,             0.29731,             0.35255,             0.11714,            0.070016,             0.81131,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.09222,             0.79292,                   0,             0.41192,             0.24671,             0.28883,            0.096928,            0.070716,             0.81556,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.093215,             0.79549,                   0,             0.51368,             0.32411,             0.38977,             0.12477,            0.069269,             0.83031,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.087179,             0.80895,                   0,             0.40534,             0.25194,             0.29716,            0.094442,            0.070991,             0.83479,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.092732,             0.82546,                   0,               0.471,             0.30216,             0.36426,             0.12172,            0.069755,              0.8284,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.091087,              0.7859,                   0,             0.48846,             0.31044,             0.38236,             0.12423,            0.069323,             0.82898,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.090505,             0.79526,                   0,             0.51709,             0.30525,              0.3937,             0.13161,            0.068882,             0.82233,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.092193,              0.8119,                   0,             0.50309,             0.32595,             0.38954,              0.1307,            0.069064,             0.82426,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.095814,             0.84331,                   0,             0.52563,             0.30756,             0.39412,             0.13388,            0.069012,             0.81804,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.087118,             0.79037,                   0,             0.54824,             0.34458,             0.42189,              0.1402,            0.068525,              0.8201,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.090195,              0.7778,                   0,             0.52375,             0.31519,             0.39579,             0.13529,             0.06846,             0.81764,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.088152,             0.82101,                   0,             0.52337,             0.34423,              0.4166,             0.14189,            0.068473,             0.82207,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.085855,             0.78826,                   0,             0.51313,             0.33694,             0.40619,             0.13819,            0.068563,             0.82119,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.092628,             0.84464,                   0,             0.49279,             0.31733,             0.38276,             0.12854,            0.068907,             0.81984,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.088323,             0.78841,                   0,             0.53381,             0.34482,             0.41708,             0.14219,            0.068418,             0.81502,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.085858,               0.834,                   0,             0.52359,             0.29139,             0.38934,             0.13297,            0.068617,             0.81736,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.084607,             0.79449,                   0,             0.52873,             0.32927,             0.41446,             0.14156,            0.068565,             0.82337,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.090605,             0.81052,                   0,             0.53311,             0.34015,              0.4143,             0.14366,            0.068334,             0.82058,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.091043,             0.78193,                   0,             0.52655,             0.34114,             0.41662,             0.14404,            0.068347,             0.81947,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.087831,              0.7905,                   0,             0.54441,             0.31536,               0.411,             0.14276,            0.068294,             0.82032,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.089833,             0.79884,                   0,             0.55027,             0.34693,             0.43197,             0.15081,            0.068051,             0.81871,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.089897,              0.8001,                   0,              0.5129,             0.30561,             0.39162,             0.13587,            0.068277,             0.81575,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.090395,             0.77299,                   0,              0.5373,             0.31151,             0.40948,             0.14375,            0.068154,             0.81741,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.088997,             0.80552,                   0,             0.53711,             0.34185,             0.42046,             0.14615,            0.068365,             0.81795,                   0,            0.000496,            0.000496,            0.000496
